Drink Volume,Drink Name,Attributes,Energy,Trans Fat,Protein,Total Fat,Saturated Fat,Cholesterol,Carbohydrate,Sugars,Dietary Fibre,Sodium,Calcium,Iron,Vitamin C,Vitamin B2,Potassium,Chloride,Phosphate,Monounsaturated Fat,Polyunsaturated Fat,Sugar,Tea Polyphenols,Total Sugar,Trans Fatty Acid,Total Sugars,Niacin,Vitamin A,Vitamin B1,Vitamin D,Vitamin E,Thiamine (Vitamin B1),Riboflavin (Vitamin B2),Vitamin B6,Folic Acid,Vitamin B12,Biotin,Pantothenic Acid,Zinc,Beta Carotene,Lactose,Fat,Tea Polyphenois,Added Sugars,Calories,Calories from Fat,Vitamin B3,Vitamin D3,Magnesium,Thiamine,Riboflavin,Niacin (B3),Riboflavin (Vit B2),Nicotinamide,Total Carbohydrate,Sucrose,Natrium / Sodium,Salt,Catechin (mg),Omega 6,Omega 3,Niacinamide,Vitamin,Per Serving,Carbohydrates,Fibre,Fiber,Glucose,Maltose,Dietary fibre,Phosphorus,Vitamin B,Macing,Fats,Total Carbohydrates,Phosphorous,Vitamin K,Choline,Manganese,Copper,Iodine,Total Fats,Added Sugar,Calorie,Serving Per,Saturated fat,Trans fat,Proteins,Bicarbonates,Sulphates,Chlorides,Silica,Nitrates,Flourides,Ion,Fluorides,Acai Extract,Blueberry Extract,Pomegranate Extract,Sulfates,pH Value,Total Dissolved Solids,ats,Serving Size: 4.5 tbsp,Servings per container,Saturated Fats,Vit D
250 ML,Rude Health Mini Almond Drink,Per Serving (100),237kj,,0.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5g,,,,,,,,,,,,,,,,0.1g,,,,,,,10.5g,0.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 X 1L,Rude Health Ultimate Almond Drink,Per Serving (null),157kj,,1.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2g,,,,,,,,,,,,,,,,0g,,,,,,,0.8g,0.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1440 ML,Bifido Just Drink-CAN-Latte 6 x 240ml,Per Serving (100ml),,,1.9g,,,3.0mg,9.6g,7.5g,0.0g,76mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8g,,,4.7g,64kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0g,,,,,,,,,,,100ml,1.4g,0.0g,,,,,,,,,,,,,,,,,,,,
6 X 1L,Rude Health Barista Soya Drink,Per Serving (100),216kj,,3.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7g,,,,,,,,,,,,,,,,0.1g,,,,,,,5g,1.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250 ML,Sansu Yuzu & Ginger Soda Drink,Per Serving (),251kj,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,0g,,,,,,,15.0g,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 X 1L,Rude Health Organic Brown Rice Drink,Per Serving (null),257kj,,0.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4g,,,,,,,,,,,,,,,,0.1g,,,,,,,11.9g,0.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 L,Rude Health Organic Coconut Drink,Per Serving (null),223kj,,0.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2g,,,,,,,,,,,,,,,,0.1g,,,,,,,10.4g,0.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 x 1.5L (CTN),F&N Flavoured Bottle Drink - Ginger Ade,Per Serving (250ml),110kcal,,0g,0g,,,27.8g,27.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coffeehock Chocolate Malt Drink 2kg,Per Serving (30),,,2.3g,,,,,,,,,,,,,,,,,5.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250 ML,Muno Organic Sea Buckthorn + Ginger Juice Drink,Per Serving (100),167kj,,,,,,,6.4g,,0.02g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6g,,0.5g,,,,,,,0.2g,,,,,,,,,,,,,,1.1g,,,,,,,,,,,,,,,,,,,
5760 ML,Bifido Just Drink-CAN-Mandheling  24 x 240ml,Per Serving (100ml),,,1.7g,,,3.2mg,8.4g,6.6g,0.0g,67mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9g,,,4.7g,58kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9g,,,,,,,,,,,100ml,1.3g,0.0g,,,,,,,,,,,,,,,,,,,,
300 ML,Karma Drinks Organic Sparkling Red Grapefruit,Per Serving (0g),123kj,,,,,,7.3g,6.9g,,0.9mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15 X 300ML,Karma Drinks Organic Sparkling Blackcurrant,Per Serving (0.1g),120kj,,0.1g,,,,6.8g,6.1g,,0.6mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250 ML,13 Honey Apple Lemon Drink,Per Serving (),108kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27g,,,,,,,,,0g,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,
250 ML,Sansu Yuzu & Cucumber Soda Drink,Per Serving (),251kj,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,0g,,,,,,,15.0g,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 X 1L,Rude Health Barista Almond Drink,Per Serving (),243kj,,1.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1g,,,,,,,,,,,,,,,,0.1g,,,,,,,8g,0.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 X 1L,Rude Health Barista Oat Drink,Per Serving (),241kj,,0.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4g,,,,,,,,,,,,,,,,0.1g,,,,,,,7.8g,0.9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 x 473ml (CTN),Snapple Bottle Drink - Grapeade,Per Serving (1 Bottle),0g,0g,0g,0g,0g,,46g,,,10mg,,,,,,,,,,46g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 x 1.5L (CTN),Life Distilled Drinking Bottle Water,Per 100ml,0kcal,0g,0g,0g,0g,0mg,0g,,0g,0.2mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 x 1.5L (CTN),F&N Ice Mountain Pure Drinking Bottle Water,Per Serving (100ml),0kcal,,0g,0g,,,0g,,,1mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 x 1L (CTN),Marigold UHT Packet Milk - Full Cream,Per Serving (200ml),120kcal,,5.8g,6.6g,,,9.4g,,,,200mg,,,,,,,,,,,,,,,300mcg,0.50mg,,,,,,,,,,,,,,,,,,,4mcg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 x 600ml (CTN),F&N Ice Mountain Pure Drinking Bottle Water,Per Serving (100ml),0kj,,0g,0g,,,0g,,,1mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 x 500ml (CTN),UFC Refresh 100% Natural Coconut Water,Per Serving (250ml),256kJ,,0g,0g,0g,,15.7g,8.6g,0.3g,48mg,36.5mg,,,,535mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.6mg,,,,,,,,,,,,,,,,,,,,,,18.4mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 x 330ml (CTN),Evian Natural Mineral Bottle Water,Per Serving (100ml),0KJ,,,0g,,,0g,,,0.65mg,8mg,,,,0.1mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36mg,1.4mg,1mg,1.5mg,0.38mg,0.006mg,,,,,,,,,,,,,
12 x 1L (CTN),UFC Refresh 100% Natural Coconut Water,Per Serving (250ml),270kJ,,0g,0g,0g,,15.7g,8.63g,< 1g,48mg,37mg,,,,535mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.6mg,,,,,,,,,,,,,,,,,,,,,,18.4mg,,,,,,,,,,,,,,,,,,,,,,,,0mg,,,,,,,,,,,,
24 x 500ml (CTN),Evian Natural Mineral Bottle Water,Per Serving (100ml),0kJ,,,0.0g,,,0.0g,,,0.65mg,8mg,,,,0.1mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36mg,1.4mg,1mg,1.5mg,0.38mg,,,0.006mg,,,,,,,,,,,
12 x 1L (CTN),Dutch Lady UHT Milk - Full Cream (Plain),Per Serving (100ml),64kcal,,2.7g,3.3g,2.5g,,5.9g,,,40mg,130.0mg,,,0.13mg,,,,,,,,,,5.0g,,90.0µg,,,,,,,,0.08µg,,,,,5.0g,,,,,,,1.0µg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0µg,,,,,,,,,,,,,,,,,,,,,,,,,,
12 x 500ml (CTN),Glaceau XXX Vitamin Bottle Water - Triple Berry,Per Serving (500ml),90kcal,,0g,0g,,,22g,22g,,0mg,,,60mg,,,,,,,,,,,,,,,,,,,1mg,,1µg,,,,,,,,,,,8mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5mg,41mg,20.5mg,,,,,,,,
24 x 600ml (CTN),Aqua Mountain Spring Bottle Water,Per Serving (600ml - 1 Bottle),0g,0g,0g,0g,0g,,0g,0g,,0mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 x 500ml (CTN),FIJI Natural Artesian Bottle Water,Per Serving (100ml),0kcal,0g,0g,0g,0g,,0g,0g,,1.8g,1.8mg,,,,0.5mg,0.9mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.3mg,,,9.2mg,,,,,,,,0.1mg,7.7,22mg,,,,,
24 x 330ml (CTN),Perrier Sparkling Mineral Bottle Water - Natural,Per Serving (100ml),1.6kJ,0g,0g,0g,0g,,0g,0g,,0.95mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 x 1.5L (CTN),Authentic Tea House Da Hong Pao No Sugar Oolong Tea,Per Serving (240ml),,,0g,0g,,,0g,0g,,19mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 x 500ml,Glaceau Essential Vitamin Bottle Water - Orange,Per Serving (500ml),90kcal,,0g,0g,,,22g,21.5g,,0mg,,,60mg,,,,,,,,,,,,,375µg,,,5mg,,,1mg,100µg,1µg,,,,,,,,,,,8mg,,113mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 x 1L (CTN),Fiji Natural Artesian Water,Per Serving (100ml),0kcal,0g,0g,0g,0g,,0g,0g,,1.8g,1.8mg,,,,0.5mg,0.9mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.3mg,,,9.2mg,,,,,,,,0.1mg,7.7,22mg,,,,,
6 X 500ML,Pocari Sweat Ion Supply Bottle 500ml [Bundle of 6],Per Serving (100),,,0g,,,,,5.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100ml,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 X 500ML,Schweppes Cream Soda Bottle [Bundle of 2],Per Serving (100ml),,,0g,,,,,4.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 X 500ML,Hung Fook Tong Red Bean &Job's Tears Seeds [Bundle of 2],Per Serving (),,,0g,,,,,4.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0g,,,,
12 x 750ml (CTN),Perrier Sparkling Mineral Bottle Water - Natural,Per Serving (100ml),1.6KJ,0g,0g,0g,0g,,0g,0g,,0.95mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 x 1L (CTN),Cocomax 100% Coconut Bottle Water,Per Serving (250ml),213kJ,,0.5g,0g,0g,0g,12g,10.8g,0g,20mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500 G,Health Paradise Organic Black Soya Milk Powder,Per Serving (),,0g,8g,4.5g,0.66g,0mg,,,0g,40mg,25.6mg,0.96mg,,,190mg,,,,,,,,,0g,,,,0mcg,,,,,,,,,0.42mg,,,,,,130kcal,,,,26.76mg,,,,,,15g,,,,,,,,,,,,,,,,79.6mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30g,16pax,,
6 X 1L,Minor Figures Barista Oat Milk,Per Serving (),410kJ,,0.4g,,,,19g,9g,,,240mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2g,,,,,,,,,,,,,,,,,,,,,,,,4.2g,,,,,,,,,,,,,,,,,,,,,,,,0.4g,
330 ML,Shozu Yuzu & Ume Sparkling Prebiotics,Per Serving (0g),146kj,,0g,,,,7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0g,,,,,,,,,5g,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500 G,Health Paradise Instant Soya Milk Powder (NSA),Per Serving (),,0g,6g,4.5g,0.66g,0mg,,,0g,40mg,18.2mg,0.75mg,,,187mg,,,,,,,,,0g,,,,,,,,0mg,,,,,0.36mg,,,,,,130kcal,,,,25.56mg,,,,,,16g,,,,,,,,,,,,,,,,61.6mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30g,16pax,,0mcg
750 ML,Marks & Spencer Sparkling Sicilian Lemon & British Mint Press,Per Serving (),21kcal,,0.1g,,0.1g,,5.1g,,,,,,,,,,,,,4.3g,,,,,,,,,,,,,,,,,,,,0.1g,,,,,,,,,,,,,,,,0.01g,,,,,,,,0.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
