drink volume,drink name,attributes,energy,trans fat,protein,total fat,saturated fat,cholesterol,carbohydrate,sugars,dietary fibre,sodium,calcium,iron,vitamin c,vitamin b2,potassium,chloride,phosphate,monounsaturated fat,polyunsaturated fat,sugar,tea polyphenols,total sugar,trans fatty acid,total sugars,niacin,vitamin a,vitamin b1,vitamin d,vitamin e,thiamine (vitamin b1),riboflavin (vitamin b2),vitamin b6,folic acid,vitamin b12,biotin,pantothenic acid,zinc,beta carotene,lactose,fat,tea polyphenois,added sugars,calories,calories from fat,vitamin b3,vitamin d3,magnesium,thiamine,riboflavin,niacin (b3),riboflavin (vit b2),nicotinamide,total carbohydrate,sucrose,natrium / sodium,salt,catechin (mg),omega 6,omega 3,niacinamide,vitamin,per serving,carbohydrates,fibre,fiber,glucose,maltose,dietary fibre,phosphorus,vitamin b,macing,fats,total carbohydrates,phosphorous,vitamin k,choline,manganese,copper,iodine,total fats,added sugar,calorie,serving per,saturated fat,trans fat,proteins,bicarbonates,sulphates,chlorides,silica,nitrates,flourides,ion,fluorides,acai extract,blueberry extract,pomegranate extract,sulfates,ph value,total dissolved solids,ats,serving size: 4.5 tbsp,servings per container,saturated fats,vit d,catechin,antioxidant,theanine,water,ash,folate,asorbic acid,per serving size,salt equivalent,caffeine,total fat,dietry fibre,calories from fat,total energy,amount per,saturated fats,total carboyhdrate,dietary fiber,carbohyrate,anthocyanins,thiamin,saturates,includes added sugars,fat,sugars,saturates,fats,saturaed fat,total calories,dietary fiber,energy from fat,monounsaturated fatty acid,polyunsaturated fatty acid,saturated fatty acid,cholestrol,unsaturated fat,saturated,natrium,lipids,phosphrous,polyphenois,per,saturates fat,total carb,caffeine content,saturatedfat,of which saturated fats,of which sugars,fibres,total calorieso,calories from saturated fat,salt (sodium),serving,totalsugers,monosaturated fat,satutated fat,total dietary fiber,enery
15 x 25g,maxtea instant drink - tarikk with ginger,per serving (25g),105kcal,0g,0.9g,2.4g,2.1g,0mg,20.7g,13.5g,1g,15mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 x 200ml,schweppes carbonated bottle drink - indian tonic water,per serving,42kcal,,0g,,,,9.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 x 500ml (ctn),pokka bottle drink - ice lemon tea,per serving (250ml),100kcal,,0.0g,0.0g,0.0g,,25.0g,,,13mg,,,,,,,,,,,10mg,24.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 x 500ml (ctn),pokka premium bottle drink - milk tea (original),per serving (250ml),105kcal,0.0g,1.5g,1.8g,1.3g,,20.8g,19.0g,,53mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180g,weider multi vitamin jelly packet drink - passion fruit,per serving (180g),70kcal,,0g,0g,0g,,17.6g,15.5g,0g,70mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 x 240ml,milo activ-go original rtd - can drink 6pcs,per serving (100ml),54kcal,,2.0g,1.5g,,,8.0g,5g,,37mg,75mg,,,,,,,,,,,,,,,,,1.1mg,,,,0.2mg,,,,,,,2.2g,,,,,,,,,,,,,,,1.5g,,,,,,,,,,,,0.4g,0.9g,0.5g,53mg,0.2mg,1.4mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 x 500ml (ctn),pokka bottle drink - ice peach tea,per serving (250ml),100kcal,,0.0g,0.0g,0.0g,,25.0g,,,13mg,,,,,,,,,,,10mg,24.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300 ml,karma drinks organic sparkling blackcurrant,per serving (0.1g),120kj,,0.1g,,,,6.8g,6.1g,,0.6mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000 ml,kirei kochi ice sweetened yuzu drink concentrate,per serving (100ml),,,0.2g,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 x 1.5l (ctn),f&n flavoured bottle drink - sarsi,per serving (250ml),202kj,,0g,0g,0g,,11.9g,0g,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 x 250ml,alchemy & tonic indian tonic water,per serving (),134kj,,0g,,,,7g,,,,,,,,,,,,,7g,,,,,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 l,rude health barista coconut drink,per serving (100),225kj,,0.8g,,,,7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1g,,,,,,,,,0.9g,,,,,,,2.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48 x 250ml ctn),vitasoy soya bean packet drink - chocolate,per serving (250ml),,0g,3g,3.5g,1g,0mg,,22.0g,,130mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160cal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,drink almighty sparkling water - peach and ginger 330ml x 6,per serving (),16kj,,0g,0g,,,0g,0g,,69mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 l,rude health organic soya drink,per serving (null),165kj,,3.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2g,,,,,,,,,,,,,,,,0.05g,,,,,,,1.6g,0.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15 x 500ml (ctn),wong lo kat bottle drink - herbal tea,per serving (100ml),141kj,,less than 1g,less than 1g,less than 1g,,,8.3g,,0mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 l,marks & spencer plant kitchen unsweetened almond drink,per serving (),14kcal,,0.5g,,0.21g,,0.8g,,,,,,,,,,,,,0.2g,,,,,,,,,,,,,,,,,,,,0.9g,,,,,,,,,,,,,,,,0.10g,,,,,,,,0.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 l,marks & spencer plant kitchen coconut drink,per serving (0.2g),119kj,,0.2g,,1.7g,,2.2g,,,,,,,,,,,,,2g,,,,,,,,,,,,,,,,,,,,1.9g,,,,,,,,,,,,,,,,0.08g,,,,,,,,1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 l,rude health organic oat drink,per serving (null),181kj,,0.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6g,,,,,,,,,,,,,,,,0.1g,,,,,,,6.1g,0.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 x 125ml,nutricia souvenaid bottle drink - vanilla,per serving (125g),125kcal,,3.1g,5.4g,,,15.4g,,0.7g,125mg,100mg,2mg,80mg,,125mg,145mg,,,,,,,,,,200?g,,1?g,40mg,,,1mg,400?g,3?g,5?g,,1.5mg,,,,,,,,,,25mg,,,,,,,,,,,,1500mg,,,,,,,,,,,,,,,87.5mg,7.7?g,400mg,0.4mg,0.2mg,20?g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 x 500ml,hung fook tong cha dian xia scf and honey drink[bundle of 2],per serving (100),,,0g,,,,,5.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100ml,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 l,marks & spencer apple & rhubarb juice drink,per serving (),40kcal,,0.2g,,0.1g,,9.2g,,,,,,,,,,,,,9.2g,,,,,,,,,,,,,,,,,,,,0.1g,,,,,,,,,,,,,,,,0.01g,,,,,,,,0.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 x 150ml,east imperial grapefruit soda - pack of 4 bottles,per serving (),,,0g,,0g,,,,1g,1.75mg,,,,,,,,,,,,12g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12g,,,,,,,0g,12g,59kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250 ml,rude health mini almond drink,per serving (100),237kj,,0.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5g,,,,,,,,,,,,,,,,0.1g,,,,,,,10.5g,0.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1440 ml,bifido just drink-can-latte 6 x 240ml,per serving (100ml),,,1.9g,,,3.0mg,9.6g,7.5g,0.0g,76mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8g,,,4.7g,64kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0g,,,,,,,,,,,100ml,1.4g,0.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 x 1l,rude health barista soya drink,per serving (100),216kj,,3.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7g,,,,,,,,,,,,,,,,0.1g,,,,,,,5g,1.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250 ml,sansu yuzu & ginger soda drink,per serving (),251kj,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,0g,,,,,,,15.0g,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 l,rude health organic coconut drink,per serving (null),223kj,,0.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2g,,,,,,,,,,,,,,,,0.1g,,,,,,,10.4g,0.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 x 1.5l (ctn),f&n flavoured bottle drink - ginger ade,per serving (250ml),110kcal,,0g,0g,,,27.8g,27.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,coffeehock chocolate malt drink 2kg,per serving (30),,,2.3g,,,,,,,,,,,,,,,,,5.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250 ml,muno organic sea buckthorn + ginger juice drink,per serving (100),167kj,,,,,,,6.4g,,0.02g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6g,,0.5g,,,,,,,0.2g,,,,,,,,,,,,,,1.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5760 ml,bifido just drink-can-mandheling  24 x 240ml,per serving (100ml),,,1.7g,,,3.2mg,8.4g,6.6g,0.0g,67mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9g,,,4.7g,58kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9g,,,,,,,,,,,100ml,1.3g,0.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300 ml,karma drinks organic sparkling red grapefruit,per serving (0g),123kj,,,,,,7.3g,6.9g,,0.9mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250 ml,13 honey apple lemon drink,per serving (),108kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27g,,,,,,,,,0g,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250 ml,sansu yuzu & cucumber soda drink,per serving (),251kj,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,0g,,,,,,,15.0g,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 x 1l,rude health barista almond drink,per serving (),243kj,,1.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1g,,,,,,,,,,,,,,,,0.1g,,,,,,,8g,0.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 x 1l,rude health barista oat drink,per serving (),241kj,,0.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4g,,,,,,,,,,,,,,,,0.1g,,,,,,,7.8g,0.9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 x 1.5l (ctn),life distilled drinking bottle water,per 100ml,0kcal,0g,0g,0g,0g,0mg,0g,,0g,0.2mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 x 1.5l (ctn),f&n ice mountain pure drinking bottle water,per serving (100ml),0kcal,,0g,0g,,,0g,,,1mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 x 1l (ctn),marigold uht packet milk - full cream,per serving (200ml),120kcal,,5.8g,6.6g,,,9.4g,,,,200mg,,,,,,,,,,,,,,,300mcg,0.50mg,,,,,,,,,,,,,,,,,,,4mcg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 x 500ml (ctn),ufc refresh 100% natural coconut water,per serving (250ml),256kj,,0g,0g,0g,,15.7g,8.6g,0.3g,48mg,36.5mg,,,,535mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.6mg,,,,,,,,,,,,,,,,,,,,,,18.4mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 x 330ml (ctn),evian natural mineral bottle water,per serving (100ml),0kj,,,0g,,,0g,,,0.65mg,8mg,,,,0.1mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36mg,1.4mg,1mg,1.5mg,0.38mg,0.006mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 x 1l (ctn),dutch lady uht milk - full cream (plain),per serving (100ml),64kcal,,2.7g,3.3g,2.5g,,5.9g,,,40mg,130.0mg,,,0.13mg,,,,,,,,,,5.0g,,90.0µg,,,,,,,,0.08µg,,,,,5.0g,,,,,,,1.0µg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0µg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 x 500ml (ctn),glaceau xxx vitamin bottle water - triple berry,per serving (500ml),90kcal,,0g,0g,,,22g,22g,,0mg,,,60mg,,,,,,,,,,,,,,,,,,,1mg,,1µg,,,,,,,,,,,8mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5mg,41mg,20.5mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 x 600ml (ctn),aqua mountain spring bottle water,per serving (600ml - 1 bottle),0g,0g,0g,0g,0g,,0g,0g,,0mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 x 500ml (ctn),fiji natural artesian bottle water,per serving (100ml),0kcal,0g,0g,0g,0g,,0g,0g,,1.8g,1.8mg,,,,0.5mg,0.9mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.3mg,,,9.2mg,,,,,,,,0.1mg,7.7,22mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 x 330ml (ctn),perrier sparkling mineral bottle water - natural,per serving (100ml),1.6kj,0g,0g,0g,0g,,0g,0g,,0.95mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 x 1.5l (ctn),authentic tea house da hong pao no sugar oolong tea,per serving (240ml),,,0g,0g,,,0g,0g,,19mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 x 500ml,glaceau essential vitamin bottle water - orange,per serving (500ml),90kcal,,0g,0g,,,22g,21.5g,,0mg,,,60mg,,,,,,,,,,,,,375µg,,,5mg,,,1mg,100µg,1µg,,,,,,,,,,,8mg,,113mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 x 1l (ctn),fiji natural artesian water,per serving (100ml),0kcal,0g,0g,0g,0g,,0g,0g,,1.8g,1.8mg,,,,0.5mg,0.9mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.3mg,,,9.2mg,,,,,,,,0.1mg,7.7,22mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 x 500ml,pocari sweat ion supply bottle 500ml [bundle of 6],per serving (100),,,0g,,,,,5.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100ml,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 x 500ml,schweppes cream soda bottle [bundle of 2],per serving (100ml),,,0g,,,,,4.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 x 500ml,hung fook tong red bean &job's tears seeds [bundle of 2],per serving (),,,0g,,,,,4.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 x 1l (ctn),cocomax 100% coconut bottle water,per serving (250ml),213kj,,0.5g,0g,0g,0g,12g,10.8g,0g,20mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500 g,health paradise organic black soya milk powder,per serving (),,0g,8g,4.5g,0.66g,0mg,,,0g,40mg,25.6mg,0.96mg,,,190mg,,,,,,,,,0g,,,,0mcg,,,,,,,,,0.42mg,,,,,,130kcal,,,,26.76mg,,,,,,15g,,,,,,,,,,,,,,,,79.6mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30g,16pax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 x 1l,minor figures barista oat milk,per serving (),410kj,,0.4g,,,,19g,9g,,,240mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2g,,,,,,,,,,,,,,,,,,,,,,,,4.2g,,,,,,,,,,,,,,,,,,,,,,,,0.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330 ml,shozu yuzu & ume sparkling prebiotics,per serving (0g),146kj,,0g,,,,7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0g,,,,,,,,,5g,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500 g,health paradise instant soya milk powder (nsa),per serving (),,0g,6g,4.5g,0.66g,0mg,,,0g,40mg,18.2mg,0.75mg,,,187mg,,,,,,,,,0g,,,,,,,,0mg,,,,,0.36mg,,,,,,130kcal,,,,25.56mg,,,,,,16g,,,,,,,,,,,,,,,,61.6mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30g,16pax,,0mcg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
